number,code,,ssdate,sssrhsl(%),fxj(y),ssdate1,bkzf,dyrzf,derzf,dsrzf,y
361,688433,2023/4/30,20230417,78.24,26.66,2023/4/17,-4.05%,15.9,-0.13,-0.01,30.9
362,688435,2023/1/31,20230119,77.85,38.66,2023/1/19,13.43%,176.77,0.03,-0.04,110
363,688439,2022/8/31,20220826,71.05,66.99,2022/8/26,-5.17%,49.54,0.12,-0.02,113.6
364,688448,2022/9/30,20220921,50.17,32.9,2022/9/21,-9.35%,-11,0,-0.03,29.3
365,688455,2022/9/30,20220915,63.66,21.88,2022/9/15,-9.35%,-3.2,-0.17,-0.1,21.18
366,688456,2021/3/31,20210317,72.67,10.62,2021/3/17,-1.57%,290.49,-0.06,-0.03,40.85
368,688459,2022/10/31,20221012,60.01,13.58,2022/10/12,4.82%,-30.34,-0.04,0.01,9.6
369,688466,2020/5/31,20200508,72.65,24.61,2020/5/8,-1.38%,112.52,-0.1,-0.08,51.84
370,688468,2021/4/30,20210409,80.24,7.15,2021/4/9,17.94%,248.81,-0.26,-0.02,24.61
372,688475,2022/12/31,20221228,52.66,28.77,2022/12/28,-5.12%,-12.23,-0.03,0.05,27.8
373,688478,2023/4/30,20230424,80.83,32.52,2023/4/24,-5.16%,30.69,0.1,0.02,57.01
375,688480,2022/11/30,20221125,81.09,19.18,2022/11/25,8.17%,33.11,-0.1,0.02,27.71
376,688484,2023/4/30,20230407,68.39,39.99,2023/4/7,-5.16%,48.41,-0.14,-0.05,59.35
377,688485,2023/1/31,20230118,69.64,17.47,2023/1/18,6.48%,23.41,-0.11,-0.01,21.56
378,688486,2023/2/28,20230221,79.55,64.76,2023/2/21,1.06%,35.87,-0.03,0.05,90.11
379,688488,2020/7/31,20200720,73.65,13.99,2020/7/20,22.48%,121.02,0.21,-0.08,37.41
380,688489,2022/12/31,20221202,81.12,78.89,2022/12/2,-5.12%,51.48,0.03,0,123.59
381,688496,2022/12/31,20221228,73,9.16,2022/12/28,-5.98%,8.84,0,-0.09,9.97
382,688498,2022/12/31,20221221,71.56,100.66,2022/12/21,-6.31%,15.66,0.05,-0.04,124.39
383,688499,2021/7/31,20210701,70.28,38.85,2021/7/1,12.75%,358.69,-0.07,0.11,195.48
384,688500,2020/7/31,20200716,76.56,34.21,2020/7/16,7.94%,218.65,-0.24,-0.1,108.7
385,688501,2021/7/31,20210716,72.22,10.57,2021/7/16,0.17%,134.91,-0.18,-0.06,24.55
386,688502,2023/3/31,20230309,72.51,69.72,2023/3/9,2.26%,175.39,0.03,-0.05,197.55
387,688503,2022/12/31,20221209,68.66,110,2022/12/9,-6.18%,35.37,-0.06,-0.03,148.91
388,688505,2020/6/30,20200619,75.78,8.95,2020/6/19,12.94%,313.41,-0.11,0.09,36.64
389,688506,2023/1/31,20230106,67.32,24.7,2023/1/6,5.47%,29.76,0.2,0.12,43
390,688507,2023/4/30,20230418,65.04,245.56,2023/4/18,-7.39%,2.62,0.03,0.1,286.8
391,688508,2020/7/31,20200722,72.52,28.3,2020/7/22,10.01%,367.67,0.08,-0.11,141.42
392,688509,2021/7/31,20210730,70,1.97,2021/7/30,-4.32%,321.83,-0.13,-0.02,8.27
393,688510,2020/12/31,20201216,98.96,8.17,2020/12/16,3.06%,355.08,0.03,-0.11,38.17
394,688511,2021/7/31,20210730,82.39,28.09,2021/7/30,3.63%,268.46,0.04,-0.12,105.45
396,688513,2020/9/30,20200902,72.43,44.36,2020/9/2,-9.27%,68.44,-0.02,-0.11,72.95
397,688515,2023/2/28,20230210,62.14,92,2023/2/10,1.06%,152.7,-0.02,0.04,237.6
398,688516,2020/5/31,20200521,73.48,23.28,2020/5/21,-1.12%,167.18,0.03,-0.12,43.55
399,688517,2021/6/30,20210618,65.87,7.71,2021/6/18,8.94%,101.69,-0.06,0.14,16.03
400,688518,2020/6/30,20200622,73.28,7.81,2020/6/22,9.64%,235.72,0.04,0.07,28.72
401,688519,2020/8/31,20200818,70.87,32.6,2020/8/18,-2.87%,88.8,-0.21,-0.08,60.64
402,688520,2020/6/30,20200622,73.83,25.64,2020/6/22,18.99%,184.98,-0.02,0.04,74
403,688521,2020/8/31,20200818,74.45,38.53,2020/8/18,-2.87%,284.12,-0.01,-0.13,148
404,688522,2023/3/31,20230301,70.71,46.68,2023/3/1,-3.39%,29.39,0,0.01,62
406,688526,2020/9/30,20200922,75.87,11.69,2020/9/22,-13.51%,170.15,0.13,-0.03,35
407,688528,2020/7/31,20200701,72.29,11.33,2020/7/1,7.48%,186.41,-0.05,-0.05,31.91
408,688529,2020/11/30,20201109,80.52,20.2,2020/11/9,1.27%,291.58,-0.18,-0.05,78.17
409,688531,2023/3/31,20230331,66.88,152.38,2023/3/31,-2.75%,27.44,0,-0.06,194.3
410,688533,2021/4/30,20210419,80.48,7.72,2021/4/19,1.85%,316.84,-0.19,-0.15,32.11
411,688535,2023/4/30,20230404,75.1,35,2023/4/4,-5.16%,79,0.32,-0.12,83
412,688536,2020/9/30,20200921,74.74,115.71,2020/9/21,-5.13%,77.17,0.14,0.12,177.19
413,688538,2021/5/31,20210528,66.17,2.65,2021/5/28,5.35%,58.49,-0.05,0.03,4.2
414,688539,2023/4/30,20230418,57.37,38.22,2023/4/18,-1.61%,-8.42,0.08,0.01,40.64
415,688550,2020/9/30,20200902,66.38,113.72,2020/9/2,-7.39%,11.84,-0.09,-0.01,87.61
416,688551,2020/9/30,20200910,70.23,37.94,2020/9/10,-0.78%,33.1,-0.09,0.02,49.82
418,688553,2021/10/31,20211026,66.48,38.87,2021/10/26,-3.68%,1.9,-0.13,-0.05,39.25
